Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5,Decision 6,Value 6,Decision 7,Value 7
Universe_153,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,log_linear
Universe_154,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,neg_binomial
Universe_155,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,log_linear
Universe_156,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,neg_binomial
Universe_157,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,log_linear
Universe_158,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,neg_binomial
Universe_159,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,log_linear
Universe_160,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,neg_binomial
Universe_161,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,log_linear
Universe_162,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,neg_binomial
Universe_163,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,log_linear
Universe_164,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,neg_binomial
Universe_165,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,log_linear
